"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"7","Prdm16",4.16143038985058e-61,3.82367891873412,0.362,0.051,8.47600141804766e-57
"7","Wdr72",6.40035719571425e-50,3.43834792627147,0.288,0.038,1.30362475362308e-45
"7","Nfib",1.40920492472336e-30,3.32793324762171,0.514,0.211,2.87026859067653e-26
"7","C1ql1",1.36488512758279e-18,3.32180582741486,0.102,0.013,2.77999802786062e-14
"7","Megf11",6.41654660471737e-76,3.19546009354945,0.689,0.176,1.30692221244883e-71
"7","Gfra1",1.40299082393874e-70,3.13586306396468,0.74,0.239,2.85761171019842e-66
"7","Emid1",1.77495161519474e-32,3.0132567623287,0.22,0.034,3.61522144982864e-28
"7","Six3",4.90373643927916e-49,3.01054747507071,0.294,0.039,9.98793037952379e-45
"7","Hs3st2",1.46369740210301e-48,2.98772167022156,0.407,0.08,2.98125886860341e-44
"7","Ttn",4.08958661865802e-22,2.88465862317532,0.249,0.062,8.32967002488265e-18
"7","Shisa6",9.13248388408358e-72,2.869432144329,0.859,0.365,1.86010431751014e-67
"7","Wnt16",2.55646837250246e-18,2.86383221298543,0.147,0.027,5.20701478111302e-14
"7","Fam163a",8.29418828389532e-32,2.85561009066483,0.379,0.103,1.6893602696638e-27
"7","Onecut1",6.15734582148607e-115,2.8301867638606,0.819,0.156,1.25412819692028e-110
"7","Slc24a4",6.08534844227739e-44,2.81027095537344,0.486,0.125,1.23946377072306e-39
